"ContactID","ContactType","CompanyName","ContactName","ContactTitle","Address","City","Region","PostalCode","Country","Phone","Extension","Fax","HomePage","PhotoPath","Photo"
1,Customer,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,"12209",Germany,"030-0074321",,"030-0076545",,,
2,Customer,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,,"05021",Mexico,(5) 555-4729,,(5) 555-3745,,,
3,Customer,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,,"05023",Mexico,(5) 555-3932,,,,,
4,Customer,Around the Horn,Thomas Hardy,Sales Representative,"120 Hanover Sq.",London,,WA1 1DP,UK,(171) 555-7788,,(171) 555-6750,,,
5,Customer,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,,S-958 22,Sweden,"0921-12 34 65",,"0921-12 34 67",,,
6,Customer,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,"68306",Germany,"0621-08460",,"0621-08924",,,
7,Customer,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,,"67000",France,"88.60.15.31",,"88.60.15.32",,,
8,Customer,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,,"28023",Spain,(91) 555 22 82,,(91) 555 91 99,,,
9,Customer,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,"13008",France,"91.24.45.40",,"91.24.45.41",,,
10,Customer,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,"23 Tsawassen Blvd.",Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,,(604) 555-3745,,,
11,Customer,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,,,,
12,Customer,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,,"1010",Argentina,(1) 135-5555,,(1) 135-4892,,,
13,Customer,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,,"05022",Mexico,(5) 555-3392,,(5) 555-7293,,,
14,Customer,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,"3012",Switzerland,"0452-076545",,,,,
15,Customer,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,"05432-043",Brazil,(11) 555-7647,,,,,
16,Customer,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,,(171) 555-9199,,,
17,Customer,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,,"52066",Germany,"0241-039123",,"0241-059428",,,
18,Customer,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,,"44000",France,"40.67.88.88",,"40.67.89.89",,,
19,Customer,Eastern Connection,Ann Devon,Sales Agent,"35 King George",London,,WX3 6FW,UK,(171) 555-0297,,(171) 555-3373,,,
20,Customer,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,"8010",Austria,"7675-3425",,"7675-3426",,,
21,Customer,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,"05442-030",Brazil,(11) 555-9857,,,,,
22,Customer,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,,"28034",Spain,(91) 555 94 44,,(91) 555 55 93,,,
23,Customer,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,,"59000",France,"20.16.10.16",,"20.16.10.17",,,
24,Customer,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,"0695-34 67 21",,,,,
25,Customer,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,"80805",Germany,"089-0877310",,"089-0877451",,,
26,Customer,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,,"44000",France,"40.32.21.21",,"40.32.21.20",,,
27,Customer,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,,"10100",Italy,"011-4988260",,"011-4988261",,,
28,Customer,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,"1675",Portugal,(1) 354-2534,,(1) 354-2535,,,
29,Customer,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,,"08022",Spain,(93) 203 4560,,(93) 203 4561,,,
30,Customer,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,,"41101",Spain,(95) 555 82 82,,,,,
31,Customer,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,"04876-786",Brazil,(11) 555-9482,,,,,
32,Customer,Great Lakes Food Market,Howard Snyder,Marketing Manager,"2732 Baker Blvd.",Eugene,OR,"97403",USA,(503) 555-7555,,,,,
33,Customer,GROSELLA-Restaurante,Manuel Pereira,Owner,"5ª Ave. Los Palos Grandes",Caracas,DF,"1081",Venezuela,(2) 283-2951,,(2) 283-3397,,,
34,Customer,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,"05454-876",Brazil,(21) 555-0091,,(21) 555-8765,,,
